"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Class"
"1",-4.98156099127742,1.82469731423963,-0.749021036839165,-0.390811655131541,0.03353131872334,"SEKER"
"2",-5.43679225108111,2.9323647958744,-2.18237398206212,-0.431959536788759,-1.22646416722897,"SEKER"
"3",-4.75808830119998,1.82688384603189,-0.514037598640379,-0.125853802268897,-0.131505542935847,"SEKER"
"4",-4.30054104106825,2.00366111638904,-3.55444709575002,0.0829644996057816,-0.800765631988096,"SEKER"
"5",-6.34934033903573,4.08820493672103,-1.17919936000518,-0.830357170282845,0.0370727516786428,"SEKER"
"6",-4.94647888377775,2.33973461099398,-0.717171881981853,-0.331154754954689,-0.271077091559656,"SEKER"
"7",-4.51898530973256,2.17989317857446,-2.01265019766275,-0.724374824945204,-1.56890048407792,"SEKER"
"8",-5.01471845857728,2.4538236094415,-0.819892303074354,-0.377121347973787,0.116265056246457,"SEKER"
"9",-4.93499897200101,2.42355604814547,-0.923721447277451,-0.397442588356985,-0.17627388361477,"SEKER"
"10",-4.78982833761033,2.18338930333647,-0.26860491302209,-0.0541008765264411,0.141809154839539,"SEKER"
"11",-4.95927035258393,2.52527048997471,-0.945399513177866,-0.475563175450748,-0.344683330675508,"SEKER"
"12",-5.35600035085638,3.16484195496849,-1.24056285564207,-0.286319156524326,-0.254008935702486,"SEKER"
"13",-4.88290537699891,2.466653765963,-0.898299240766547,-0.574685842118057,0.130574739298497,"SEKER"
"14",-4.74050277656106,2.39717586501294,-0.786414363324521,0.204995949991371,-0.114989764479888,"SEKER"
"15",-5.25131309171257,2.97486518719812,-0.819183647468664,-0.380784680916179,-0.269238245769345,"SEKER"
"16",-5.16760150633962,2.8015662188331,-0.915939641472727,-0.640939791012106,-0.0464409872273584,"SEKER"
"17",-4.78429810331217,2.41848326245185,-0.971174992840578,-0.242829515011838,-0.290154999604377,"SEKER"
"18",-4.92068441872699,2.48776707546053,-0.854960160509925,-0.590835052937535,-0.127598982682406,"SEKER"
"19",-5.27096635778781,2.96931171562433,-0.824340330753615,-0.581275700622747,-0.116400145509087,"SEKER"
"20",-4.97845145726708,2.50830003348758,-0.230812689121824,-0.337656884611354,0.216746812942163,"SEKER"
"21",-4.67802204399641,2.11206090242634,-0.0336484508315175,-0.292512752247432,0.4818478028005,"SEKER"
"22",-5.24805961446376,2.97385646613472,-0.572015957768872,-0.563462642583613,0.223579737158958,"SEKER"
"23",-4.0559433969924,1.88007046508456,-2.52621770632117,-0.613860508000736,-1.27200425520849,"SEKER"
"24",-3.55639444726846,0.805789848890171,-0.45653194473112,-0.189982486985249,-0.35980175633777,"SEKER"
"25",-2.94091060593009,-0.00786506940531541,-0.322146675984177,-0.230615954493776,0.564160233553088,"SEKER"
"26",-5.54840861473739,3.53618922884642,-1.26567161402903,-0.695509556402568,-0.323336133347064,"SEKER"
"27",-4.79749797824111,2.61049931941714,-1.11992320507418,-0.399630840379608,-0.634835579676073,"SEKER"
"28",-4.73179166376044,2.31471127106388,-0.211053193382136,-0.252260914637614,0.189288866382787,"SEKER"
"29",-4.37354758651426,2.00565577845509,-0.893725152905451,-0.148105758012687,-0.298831815002911,"SEKER"
"30",-4.44108269228893,1.86247025765523,0.242172308491935,-0.179280603300369,0.262525563755464,"SEKER"
"31",-5.10651980599619,3.01888262949956,-1.18617229644546,-0.517722246181689,-0.135575876192154,"SEKER"
"32",-4.06066268066028,1.66778062837128,-1.00662621324969,-0.20052676009974,-0.793473857741258,"SEKER"
"33",-4.01156563946338,1.56374028312959,-0.667248613753301,0.101845409205194,-0.420893336629004,"SEKER"
"34",-5.12631823862538,2.89604733230719,-0.429420427217709,-0.356185019470375,0.219235293101544,"SEKER"
"35",-5.43055372879462,3.29388428937606,-0.590356209406624,-0.593601471612895,0.155369732336603,"SEKER"
"36",-5.52748264750836,3.43700517895579,-0.614650091639791,-0.597365627142686,0.141609091192097,"SEKER"
"37",-5.24739885693336,3.37081001504673,-1.57355873688865,-0.274031948129017,-0.434812251432027,"SEKER"
"38",-5.19551489214528,3.18044028680498,-1.34712324490689,-0.80105424016624,-0.243442878440781,"SEKER"
"39",-3.65620789357012,1.03394683706274,-0.106680262982232,0.194580557622258,0.124555097909541,"SEKER"
"40",-4.36585872443289,1.86440158675361,-0.00960383065262709,-0.216455401571467,0.304448534328462,"SEKER"
"41",-4.94807378125982,2.83389422059663,-0.940864101367309,-0.38817557554832,-0.299256373563445,"SEKER"
